Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-10-04 17:19:28,false,"Washington - 7.5 mi, .5/.25 split","7.50","406","01:36:55","108","161","2.0","146","243","12:55","8:21","565","559","0.83","0.0","0.0","0.0","0.0","0.0","1:36:55","0:00","0.0","0:00","No","04:26.31","20","0.0"
Running,2020-09-28 17:36:08,false,"Washington - 10 mi run/walk","10.00","730","02:11:26","135","179","2.8","147","246","13:09","7:54","889","867","0.82","0.0","0.0","0.0","0.0","0.0","2:11:26","0:00","0.0","0:00","No","02:31.18","27","0.0"
Running,2020-09-21 16:57:57,false,"Washington - 60 min run/walk, 6/4","4.85","393","01:00:00","146","194","3.5","150","244","12:23","8:41","367","361","0.85","0.0","0.0","0.0","0.0","0.0","1:00:00","0:00","0.0","0:00","No","04:00.00","12","0.0"
Running,2020-09-19 13:34:16,false,"Washington - 90 min run /walk","7.09","595","01:30:00","151","192","3.2","147","247","12:42","7:58","489","427","0.85","0.0","0.0","0.0","0.0","0.0","1:30:00","0:00","0.0","0:00","No","05:00.00","18","0.0"
Running,2020-09-16 17:29:59,false,"Washington - 60 min run walk","4.65","432","01:00:00","156","186","3.3","144","247","12:54","8:07","373","358","0.85","0.0","0.0","0.0","0.0","0.0","1:00:00","0:00","0.0","0:00","No","05:00.00","12","0.0"
Running,2020-09-14 16:19:55,false,"Washington - 60 min run walk","4.67","305","01:00:00","119","155","2.0","143","241","12:51","8:46","373","386","0.86","0.0","0.0","0.0","0.0","0.0","1:00:00","0:00","0.0","0:00","No","05:00.00","12","0.0"
Running,2020-09-07 12:37:31,false,"Washington - 35 min run/walk","2.20","160","00:30:00","117","161","1.8","142","239","13:39","9:20","149","43","0.82","0.0","0.0","0.0","0.0","0.0","30:00","0:00","0.0","0:00","No","05:00.00","6","0.0"
Running,2020-07-15 19:39:23,false,"Washington - slow 2.5","2.50","167","00:23:57","140","164","2.4","167","176","9:35","8:33","103","180","1.01","0.0","0.0","0.0","0.0","0.0","23:57","0:00","0.0","0:00","No","02:20.37","4","0.0"
Running,2020-07-14 19:57:58,false,"Washington - slow 2 miler","2.01","88","00:18:45","117","128","1.3","166","181","9:20","8:10","142","167","1.04","0.0","0.0","0.0","0.0","0.0","18:45","0:00","0.0","0:00","No","00:08.43","3","0.0"
Running,2020-07-08 19:20:58,false,"Washington - slow 2 miler","2.00","179","00:19:20","165","177","3.3","162","177","9:39","7:56","136","142","1.03","0.0","0.0","0.0","0.0","0.0","19:20","0:00","0.0","0:00","No","00:06.59","3","0.0"
Running,2020-07-06 07:29:49,false,"Washington - slow 2 miler","2.00","185","00:18:42","169","184","3.4","166","179","9:20","8:20","104","121","1.04","0.0","0.0","0.0","0.0","0.0","18:42","0:00","0.0","0:00","No","00:01.50","3","0.0"
Running,2020-07-04 07:14:32,false,"Washington - slow 2 miler","2.02","160","00:19:59","141","159","2.5","164","179","9:53","8:44","110","123","0.99","0.0","0.0","0.0","0.0","0.0","19:59","0:00","0.0","0:00","No","00:01.89","4","0.0"
